,OvertimePay
645,41689.64
646,10535.32
647,13115.5
648,57319.91
649,17330.37
650,56927.28
651,0.0
652,0.0
653,96304.47
654,60038.14
655,369.1
656,0.0
657,1752.29
658,47588.94
659,0.0
660,0.0
661,0.0
662,0.0
663,15625.85
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,43793.11
676,43235.97
677,47724.51
678,56335.26
679,62047.83
680,54846.07
681,1854.12
682,56048.71
683,57157.15
684,93921.49
685,93952.0
686,0.0
687,54740.48
688,947.48
689,0.0
690,11725.3
691,13825.49
692,51069.08
693,54207.93
694,92213.11
695,14130.64
696,14005.29
697,0.0
698,83345.77
699,22935.98
700,54828.91
701,0.0
702,50019.79
703,37766.24
704,0.0
705,55079.91
706,0.0
707,0.0
708,15105.79
709,45039.03
710,41100.06
711,15272.37
712,0.0
713,0.0
714,38566.1
715,39965.16
716,39356.21
717,2100.0
718,0.0
719,63138.82
720,27624.39
721,0.0
722,0.0
723,39315.26
724,93700.89
725,40274.32
726,55041.99
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,20264.64
733,54460.76
734,24274.27
735,27624.48
736,60627.28
737,9286.3
738,38473.45
739,58520.96
740,55439.25
741,14415.78
742,0.0
743,49733.97
744,38334.82
745,16693.7
746,36222.99
747,32523.04
748,83945.39
749,0.0
750,0.0
751,27612.22
752,53688.69
753,0.0
754,11747.67
755,52578.13
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,56919.07
762,0.0
763,13238.59
764,15162.73
765,12513.28
766,39140.57
767,0.0
768,9009.22
769,22429.38
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,26298.18
776,30463.43
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,39453.51
789,25914.78
790,46836.09
791,0.0
792,0.0
793,38629.34
794,38040.92
795,17578.51
796,9397.8
797,14903.33
798,31075.68
799,0.0
800,0.0
801,0.0
802,76075.17
803,0.0
804,36468.91
805,49239.79
806,0.0
807,37038.11
808,4397.38
809,6245.72
810,52505.74
811,33976.93
812,52249.52
813,19391.55
814,23225.25
815,0.0
816,0.0
817,21837.15
818,11846.01
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,21917.99
830,0.0
831,51432.24
832,47372.92
833,16042.98
834,0.0
835,25277.42
836,81671.14
837,0.0
838,0.0
839,0.0
840,25514.06
841,8310.25
842,61148.44
843,37331.4
844,42866.54
845,4353.57
846,0.0
847,20407.79
848,15176.1
849,23147.3
850,51240.46
851,0.0
852,41650.07
853,0.0
854,22127.1
855,0.0
856,0.0
857,37258.55
858,16878.09
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,22803.27
872,54931.7
873,33568.37
874,0.0
875,50617.11
876,12057.76
877,22110.48
878,51443.65
879,21443.56
880,51360.18
881,23552.64
882,0.0
883,479.59
884,0.0
885,19780.25
886,30476.51
887,49896.15
888,655.32
889,0.0
890,9141.05
891,48482.65
892,49964.55
893,35170.62
894,30347.94
895,74882.87
896,16357.45
897,0.0
898,17476.9
899,0.0
900,64003.88
901,51718.69
902,43502.56
903,23173.73
904,55334.44
905,0.0
906,42184.64
907,30746.39
908,0.0
909,47401.02
910,28364.36
911,0.0
912,0.0
913,10679.82
914,4943.23
915,50587.27
916,0.0
917,0.0
918,50298.7
919,50329.96
920,49541.74
921,48003.18
922,49910.18
923,0.0
924,11848.76
925,36525.73
926,16596.0
927,58868.78
928,48065.09
929,48294.4
930,48507.41
931,49300.33
932,48957.12
933,21856.48
934,50581.38
935,16818.84
936,16649.8
937,19964.24
938,74599.57
939,0.0
940,0.0
941,43670.28
942,26427.84
943,8600.22
944,1143.54
945,27678.4
946,0.0
947,0.0
948,0.0
949,42119.67
950,0.0
951,16677.51
952,0.0
953,47854.4
954,17148.2
955,47863.3
956,63114.86
957,0.0
958,75883.5
959,10477.85
960,0.0
961,33452.52
962,15154.59
963,5483.94
964,26626.3
965,82044.45
966,0.0
967,24428.01
968,0.0
969,0.0
970,47640.85
971,0.0
972,31978.14
973,45173.46
974,21434.52
975,9086.08
976,32584.75
977,32981.9
978,20619.01
979,0.0
980,7430.89
981,52697.7
982,31227.51
983,32171.52
984,23945.61
985,43092.79
986,23598.47
987,5201.24
988,0.0
989,0.0
990,64426.82
991,6220.38
992,54436.25
993,0.0
994,53551.86
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,8577.69
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,48209.91
1006,31623.64
1007,0.0
1008,14146.45
1009,0.0
1010,12792.88
1011,26801.45
1012,41715.68
1013,46289.28
1014,0.0
1015,24604.97
1016,39177.71
1017,665.91
1018,48585.74
1019,18824.24
1020,36539.49
1021,82703.33
1022,0.0
1023,41268.73
1024,52742.53
1025,0.0
1026,82162.63
1027,29707.65
1028,30224.22
1029,38963.06
1030,0.0
1031,0.0
1032,17991.1
1033,5110.5
1034,45421.11
1035,32586.59
1036,11417.77
1037,15679.0
1038,0.0
1039,0.0
1040,45804.33
1041,44890.99
1042,8957.3
1043,0.0
1044,46656.69
1045,10504.5
1046,72516.08
1047,15470.97
1048,19294.07
1049,31723.04
1050,0.0
1051,10744.55
1052,0.0
1053,0.0
1054,10660.88
1055,51200.21
1056,33221.4
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,40487.9
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,11304.01
1098,89331.76
1099,22262.03
1100,0.0
1101,0.0
1102,0.0
1103,74164.4
1104,0.0
1105,0.0
1106,44024.16
1107,0.0
1108,9211.59
1109,0.0
1110,31937.91
1111,63835.87
1112,0.0
1113,31946.87
1114,9218.4
1115,47856.52
1116,21172.38
1117,43435.49
1118,0.0
1119,0.0
1120,14467.33
1121,0.0
1122,21963.98
1123,0.0
1124,16182.77
1125,7043.33
1126,706.91
1127,0.0
1128,0.0
1129,18924.51
1130,36258.53
1131,9689.99
1132,9070.09
1133,0.0
1134,0.0
1135,1122.17
1136,10562.83
1137,17142.37
1138,9204.61
1139,19933.0
1140,8605.65
1141,42571.24
1142,0.0
1143,0.0
1144,17293.78
1145,0.0
1146,23560.82
1147,49053.4
1148,18930.96
1149,0.0
1150,40871.1
1151,0.0
1152,35791.99
1153,0.0
1154,22872.83
1155,18776.99
1156,0.0
1157,43290.19
1158,26862.89
1159,38376.8
1160,27923.92
1161,18646.53
1162,25246.78
1163,39615.08
1164,0.0
1165,5970.08
1166,21405.25
1167,6750.17
1168,0.0
1169,40632.3
1170,0.0
1171,19035.35
1172,43155.77
1173,38539.17
1174,47416.93
1175,948.3
1176,20912.21
1177,35356.22
1178,16685.31
1179,19744.98
1180,0.0
1181,23934.63
1182,27590.11
1183,4348.12
1184,0.0
1185,0.0
1186,32075.58
1187,0.0
1188,36561.12
1189,18253.35
1190,0.0
1191,20737.03
1192,0.0
1193,26020.84
1194,42086.49
1195,0.0
1196,25558.88
1197,27475.6
1198,29413.73
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,27519.69
1204,21008.81
1205,0.0
1206,0.0
1207,41471.86
1208,67624.42
1209,45115.58
1210,84767.48
1211,45724.86
1212,18389.94
1213,22989.43
1214,0.0
1215,28016.34
1216,48269.68
1217,0.0
1218,9503.16
1219,6783.61
1220,22664.51
1221,8685.5
1222,0.0
1223,6105.88
1224,23266.65
1225,8299.66
1226,0.0
1227,0.0
1228,34765.23
1229,41446.43
1230,20010.89
1231,33422.36
1232,0.0
1233,969.91
1234,36788.77
1235,0.0
1236,15181.65
1237,0.0
1238,2384.59
1239,0.0
1240,0.0
1241,0.0
1242,6275.38
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,41053.35
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,6744.06
1316,0.0
1317,23084.22
1318,48094.19
1319,5133.12
1320,7460.28
1321,8531.95
1322,8503.37
1323,30262.34
1324,46389.05
1325,0.0
1326,50531.95
1327,0.0
1328,41270.8
1329,0.0
1330,0.0
1331,13804.11
1332,10273.63
1333,0.0
1334,71916.16
1335,24565.3
1336,40454.6
1337,0.0
1338,0.0
1339,0.0
1340,53041.23
1341,0.0
1342,15378.03
1343,5659.21
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,54830.13
1354,25393.97
1355,0.0
1356,0.0
1357,54599.32
1358,8049.95
1359,0.0
1360,33142.82
1361,8430.59
1362,40386.98
1363,0.0
1364,0.0
1365,29220.92
1366,0.0
1367,19565.41
1368,18430.17
1369,35578.6
1370,11289.53
1371,12325.08
1372,0.0
1373,15149.02
1374,0.0
1375,0.0
1376,25091.89
1377,11519.03
1378,0.0
1379,0.0
1380,0.0
1381,11934.4
1382,25873.52
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,64762.0
1391,64338.09
1392,7912.08
1393,0.0
1394,32328.06
1395,25622.57
1396,12362.15
1397,0.0
1398,8754.56
1399,50187.14
1400,0.0
1401,16171.43
1402,0.0
1403,11418.4
1404,0.0
1405,72630.66
1406,14998.89
1407,0.0
1408,24626.67
1409,0.0
1410,5515.69
1411,39391.58
1412,3204.78
1413,69910.69
1414,46635.39
1415,53734.69
1416,48991.79
1417,0.0
1418,78026.28
1419,0.0
1420,24074.83
1421,0.0
1422,25212.88
1423,27287.4
1424,0.0
1425,0.0
1426,30298.13
1427,0.0
1428,24554.06
1429,39005.39
1430,0.0
1431,2763.35
1432,61660.88
1433,0.0
1434,12145.84
1435,27608.58
1436,27512.14
1437,0.0
1438,39262.92
1439,25287.68
1440,11872.39
1441,0.0
1442,0.0
1443,0.0
1444,28189.08
1445,14954.69
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,36751.61
1454,28437.14
1455,31990.05
1456,10371.82
1457,39036.89
1458,21374.34
1459,36024.66
1460,26997.19
1461,8846.13
1462,8791.2
1463,17022.68
1464,25911.4
1465,0.0
1466,13579.72
1467,0.0
1468,27744.77
1469,38431.22
1470,42249.54
1471,77109.94
1472,4190.08
1473,0.0
1474,9901.34
1475,21259.97
1476,29381.19
1477,9157.83
1478,0.0
1479,52252.02
1480,22863.67
1481,17608.45
1482,0.0
1483,10454.58
1484,0.0
1485,9629.56
1486,23771.27
1487,0.0
1488,30207.77
1489,9443.76
1490,43702.57
1491,0.0
1492,16508.53
1493,650.98
1494,0.0
1495,11960.42
1496,32815.84
1497,9822.74
1498,4506.29
1499,5927.55
1500,0.0
1501,0.0
1502,0.0
1503,8029.59
1504,3626.36
1505,8747.4
1506,37231.07
1507,5482.91
1508,21371.42
1509,1110.45
1510,0.0
1511,0.0
1512,0.0
1513,19975.15
1514,29025.2
1515,0.0
1516,0.0
1517,22400.73
1518,0.0
1519,7504.39
1520,40475.47
1521,6789.18
1522,39692.49
1523,0.0
1524,41649.28
1525,502.02
1526,15781.31
1527,7362.66
1528,8791.2
1529,21925.24
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,29980.47
1535,30791.55
1536,511.56
1537,30756.63
1538,0.0
1539,0.0
1540,22176.16
1541,0.0
1542,0.0
1543,36221.51
1544,18629.17
1545,0.0
1546,7368.26
1547,22014.16
1548,23897.35
1549,37086.47
1550,23674.87
1551,0.0
1552,5044.44
1553,8141.55
1554,12068.14
1555,24298.56
1556,74019.99
1557,4928.66
1558,11935.96
1559,37752.52
1560,31140.37
1561,7816.3
1562,0.0
1563,0.0
1564,3949.88
1565,7419.47
1566,0.0
1567,32071.14
1568,68004.76
1569,36462.79
1570,48182.51
1571,8687.52
1572,5117.89
1573,62098.79
1574,9257.55
1575,17717.63
1576,19027.03
1577,38135.73
1578,0.0
1579,35928.44
1580,36223.91
1581,0.0
1582,0.0
1583,20662.03
1584,12583.72
1585,10028.89
1586,11294.21
1587,35585.84
1588,0.0
1589,0.0
1590,13471.01
1591,4271.63
1592,11589.81
1593,0.0
1594,23750.0
1595,35955.13
1596,27371.96
1597,62010.44
1598,19437.51
1599,0.0
1600,8527.94
1601,31763.39
1602,63414.81
1603,24894.01
1604,4590.88
1605,14721.43
1606,66113.15
1607,0.0
1608,61747.92
1609,73539.45
1610,38948.78
1611,0.0
1612,0.0
1613,4164.46
1614,21399.68
1615,9530.74
1616,22595.95
1617,0.0
1618,15137.51
1619,35774.4
1620,16626.65
1621,20948.38
1622,10634.12
1623,2093.32
1624,14012.31
1625,0.0
1626,9824.32
1627,47392.94
1628,0.0
1629,41133.85
1630,38987.25
1631,7656.77
1632,36091.1
1633,70358.67
1634,8181.75
1635,7032.96
1636,3782.18
1637,13398.78
1638,74434.5
1639,37774.3
1640,0.0
1641,0.0
1642,15768.02
1643,24473.67
1644,0.0
1645,0.0
1646,18490.87
1647,26762.96
1648,6504.52
1649,34395.53
1650,5274.72
1651,1115.44
1652,15958.09
1653,41627.96
1654,26028.61
1655,33215.27
1656,46751.33
1657,0.0
1658,8118.33
1659,73972.5
1660,0.0
1661,3970.94
1662,0.0
1663,19660.76
1664,0.0
1665,19808.82
1666,16580.06
1667,70959.92
1668,5904.92
1669,62600.83
1670,19596.2
1671,31760.54
1672,29602.86
1673,115.76
1674,11076.92
1675,10419.37
1676,4606.55
1677,40569.1
1678,708.76
1679,8532.0
1680,67042.02
1681,48063.88
1682,5274.72
1683,0.0
1684,20476.95
1685,39857.76
1686,18285.6
1687,38973.14
1688,12451.87
1689,58352.5
1690,0.0
1691,0.0
1692,18969.48
1693,78531.85
1694,15250.95
1695,4810.65
1696,0.0
1697,43665.13
1698,45646.93
1699,24259.03
1700,0.0
1701,34095.34
1702,21066.33
1703,59854.97
1704,10897.55
1705,15273.94
1706,34728.66
1707,26190.06
1708,36641.91
1709,20368.79
1710,4364.6
1711,0.0
1712,0.0
1713,17983.07
1714,18609.57
1715,0.0
1716,7772.98
1717,546.46
1718,19364.94
1719,71725.36
1720,0.0
1721,18866.84
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,11884.7
1739,0.0
1740,9752.31
1741,37518.82
1742,3202.91
1743,9462.75
1744,29782.46
1745,71106.68
1746,12850.54
1747,19155.21
1748,67731.55
1749,10558.54
1750,0.0
1751,3531.7
1752,78645.12
1753,0.0
1754,40553.27
1755,17578.32
1756,16400.86
1757,25135.94
1758,17188.3
1759,34824.5
1760,9591.07
1761,30365.93
1762,8290.62
1763,19050.61
1764,52848.14
1765,20126.38
1766,37025.21
1767,11520.09
1768,0.0
1769,13690.58
1770,6007.32
1771,4186.64
1772,3666.57
1773,29870.13
1774,4738.24
1775,4365.48
1776,18882.41
1777,3170.82
1778,0.0
1779,25504.93
1780,10121.36
1781,20417.02
1782,32857.03
1783,36004.73
1784,23233.24
1785,55999.77
1786,0.0
1787,4395.6
1788,0.0
1789,4259.64
1790,7863.32
1791,5799.54
1792,57453.52
1793,1136.38
1794,12636.95
1795,32644.53
1796,13615.68
1797,10035.67
1798,21143.28
1799,0.0
1800,0.0
1801,0.0
1802,9289.92
1803,0.0
1804,27858.98
1805,0.0
1806,0.0
1807,0.0
1808,28180.55
1809,14836.12
1810,115.65
1811,0.0
1812,32343.95
1813,7802.18
1814,1654.58
1815,32304.34
1816,0.0
1817,37604.12
1818,0.0
1819,2225.73
1820,8656.88
1821,6571.88
1822,0.0
1823,3618.79
1824,0.0
1825,5358.04
1826,17118.46
1827,19131.14
1828,8547.0
1829,0.0
1830,0.0
1831,18168.71
1832,2874.84
1833,30275.46
1834,19458.52
1835,68852.91
1836,0.0
1837,52579.59
1838,4395.6
1839,45024.89
1840,10030.13
1841,12490.81
1842,252.47
1843,19819.76
1844,10708.32
1845,8386.44
1846,14524.04
1847,30434.76
1848,34727.3
1849,27748.78
1850,0.0
1851,67791.53
1852,0.0
1853,40180.66
1854,3392.85
1855,8441.93
1856,70367.54
1857,5433.38
1858,6879.87
1859,3519.64
1860,11780.71
1861,0.0
1862,12886.19
1863,16754.04
1864,4417.81
1865,0.0
1866,27070.49
1867,21783.02
1868,12197.78
1869,26822.85
1870,34234.03
1871,4030.29
1872,30184.4
1873,12668.64
1874,7785.45
1875,34538.32
1876,12120.31
1877,3531.42
1878,12318.56
1879,0.0
1880,0.0
1881,17034.92
1882,53819.61
1883,18641.54
1884,8376.22
1885,3141.94
1886,4949.42
1887,77595.99
1888,31156.08
1889,18165.94
1890,15721.01
1891,3328.19
1892,13922.14
1893,29992.49
1894,0.0
1895,0.0
1896,8.31
1897,16257.59
1898,31424.09
1899,34900.35
1900,10378.5
1901,4375.73
1902,5914.41
1903,37301.79
1904,6289.64
1905,9333.79
1906,67362.26
1907,9240.22
1908,432.56
1909,7188.62
1910,31008.78
1911,16010.12
1912,37603.03
1913,0.0
1914,36879.98
1915,14381.48
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,11396.4
1921,7020.75
1922,8681.3
1923,0.0
1924,0.0
1925,11964.37
1926,34058.4
1927,69489.99
1928,12014.63
1929,8945.89
1930,31417.85
1931,31419.76
1932,14965.88
1933,7310.94
1934,31252.63
1935,0.0
1936,29989.6
1937,9078.4
1938,16400.47
1939,0.0
1940,0.0
1941,8054.43
1942,21532.59
1943,0.0
1944,0.0
1945,34372.74
1946,8841.85
1947,5274.72
1948,16043.12
1949,0.0
1950,30862.12
1951,15721.12
1952,30534.55
1953,9795.23
1954,16167.0
1955,12244.43
1956,38180.33
1957,0.0
1958,15785.96
1959,11415.77
1960,0.0
1961,13699.65
1962,0.0
1963,1206.64
1964,44457.9
1965,0.0
1966,63327.85
1967,7508.93
