,OtherPay
481,29954.29
482,17702.71
483,18026.19
484,22045.83
485,15058.44
486,27311.59
487,102724.32
488,0.0
489,17342.94
490,3183.09
491,15147.84
492,26013.27
493,17958.55
494,15863.95
495,837.79
496,23865.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,51880.5
523,96685.9
524,12896.51
525,851.04
526,0.0
527,18858.72
528,29287.06
529,10017.33
530,4284.19
531,47786.99
532,50364.21
533,2155.7
534,1115.0
535,17568.84
536,9085.02
537,12706.06
538,4500.0
539,8755.23
540,5165.98
541,43173.11
542,26661.89
543,14049.85
544,35382.94
545,15554.55
546,0.0
547,817.19
548,817.17
549,2646.0
550,20287.81
551,10122.78
552,6969.47
553,17542.28
554,8767.29
555,16499.67
556,28984.15
557,29537.51
558,23939.28
559,8758.56
560,31081.7
561,87321.56
562,0.0
563,19409.94
564,13060.81
565,0.0
566,17944.28
567,1639.26
568,23943.72
569,59346.05
570,21512.66
571,17384.67
572,19613.28
573,11986.52
574,11986.52
575,17500.02
576,27352.98
577,50782.71
578,23587.59
579,8182.6
580,80511.29
581,10833.97
582,0.0
583,45997.68
584,1353.71
585,19329.42
586,9759.5
587,22144.85
588,26573.04
589,4719.02
590,49655.73
591,29538.27
592,13229.0
593,15903.78
594,10263.81
595,863.57
596,23833.16
597,16606.26
598,16606.21
599,14260.84
600,26236.37
601,50205.5
602,25920.06
603,19884.19
604,11156.69
605,9644.56
606,8678.78
607,29719.33
608,29399.75
609,59192.37
610,16826.88
611,23759.88
612,42848.45
613,250.0
614,17566.38
615,10303.46
616,10762.46
617,0.0
618,44703.15
619,9853.64
620,25444.5
621,66489.33
622,16113.6
623,21427.23
624,15269.84
625,17418.94
626,14098.89
627,15445.81
628,0.0
629,13299.52
630,20034.44
631,26690.3
632,17067.9
633,0.0
634,22541.64
635,16857.46
636,25202.31
637,7696.28
638,48131.3
639,3979.03
640,17840.89
641,7672.12
642,67696.25
643,79426.59
644,15221.78
645,16302.93
646,64971.08
647,55507.38
648,17688.34
649,14569.57
650,18030.51
651,0.0
652,3538.48
653,6798.6
654,14630.07
655,53241.41
656,0.0
657,10247.21
658,2437.42
659,3538.51
660,3538.5
661,3538.49
662,3538.44
663,34324.97
664,3538.03
665,3538.02
666,3537.96
667,3537.96
668,3537.96
669,3537.94
670,3537.86
671,3537.89
672,3537.8
673,3537.75
674,3537.11
675,6061.8
676,14654.75
677,10143.08
678,17989.06
679,12268.78
680,19427.96
681,51284.37
682,18110.23
683,17000.62
684,8514.52
685,9839.08
686,120.0
687,19273.96
688,48528.07
689,8563.34
690,55642.28
691,74887.71
692,22484.45
693,19340.47
694,9580.51
695,16194.87
696,52876.17
697,5000.0
698,7432.87
699,25784.81
700,18404.63
701,16682.4
702,23087.04
703,18122.53
704,4600.0
705,17883.12
706,0.0
707,0.0
708,28380.79
709,10652.23
710,15277.8
711,22961.04
712,16810.3
713,950.0
714,17030.62
715,15550.72
716,16054.24
717,38237.27
718,2268.0
719,11196.87
720,20278.84
721,3035.32
722,0.0
723,16567.53
724,7057.05
725,15568.88
726,17238.05
727,21883.72
728,36486.4
729,30668.5
730,4927.5
731,4108.91
732,23079.29
733,17525.24
734,13087.88
735,19707.47
736,10618.66
737,55950.06
738,16054.21
739,13129.28
740,16195.41
741,51537.32
742,681.0
743,21851.5
744,16053.91
745,96404.64
746,10750.22
747,17703.9
748,9962.4
749,0.0
750,25764.18
751,9109.48
752,17634.05
753,11177.25
754,11559.96
755,18694.64
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,16947.51
762,16103.56
763,72405.43
764,49530.66
765,33951.59
766,16169.43
767,0.0
768,18842.76
769,24070.82
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,23370.63
776,23295.68
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,14952.57
789,1749.81
790,14548.88
791,29746.49
792,3572.4
793,15551.57
794,15966.83
795,42260.91
796,17831.68
797,21497.8
798,22746.49
799,18867.55
800,0.0
801,0.0
802,10541.82
803,0.0
804,17130.63
805,20784.93
806,13499.05
807,16496.74
808,22428.34
809,12469.32
810,17312.52
811,18623.36
812,17420.76
813,25686.52
814,21840.4
815,15941.82
816,0.0
817,22994.92
818,14401.68
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,85545.32
830,34397.78
831,17764.92
832,17031.96
833,28518.49
834,0.0
835,9109.48
836,4813.0
837,0.0
838,0.0
839,450.0
840,9247.6
841,19890.14
842,9245.66
843,6880.43
844,21139.67
845,39809.66
846,0.0
847,13637.71
848,8517.25
849,20954.36
850,17385.45
851,4987.2
852,14749.96
853,0.0
854,21782.73
855,0.0
856,0.0
857,14672.97
858,17006.31
859,9.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,46019.13
872,13351.87
873,30837.81
874,8292.46
875,17536.08
876,49607.84
877,2894.88
878,16643.9
879,25343.8
880,16676.36
881,37643.11
882,9518.59
883,46313.1
884,28360.45
885,4752.68
886,81907.27
887,17748.1
888,7603.88
889,0.0
890,15288.75
891,18997.37
892,17431.25
893,17429.5
894,19821.23
895,10322.48
896,93158.12
897,4866.93
898,25182.77
899,1526.79
900,2082.0
901,15380.6
902,13560.15
903,19224.47
904,11806.38
905,0.0
906,8186.84
907,18906.51
908,0.0
909,19187.59
910,7701.57
911,0.0
912,101242.15
913,14919.24
914,13963.14
915,15830.32
916,1192.56
917,0.0
918,15967.4
919,16086.38
920,16600.13
921,18128.45
922,16188.66
923,0.0
924,24750.5
925,12327.61
926,14806.17
927,16641.03
928,17938.15
929,17593.45
930,17350.46
931,16515.72
932,16856.1
933,819.02
934,15196.95
935,24409.25
936,42571.98
937,39230.58
938,10950.14
939,1994.81
940,0.0
941,21936.69
942,17387.25
943,13812.98
944,7065.24
945,13272.92
946,71668.16
947,16403.96
948,1521.4
949,23008.92
950,0.0
951,41951.88
952,11488.66
953,17184.35
954,13337.78
955,17111.75
956,4921.49
957,10088.57
958,5954.23
959,29920.14
960,0.0
961,14928.48
962,25139.73
963,12092.9
964,9980.44
965,10541.95
966,15453.68
967,17447.21
968,0.0
969,8098.75
970,16904.8
971,8112.38
972,13593.7
973,8430.27
974,79863.62
975,30801.33
976,15277.8
977,27162.71
978,19145.69
979,8750.1
980,50391.05
981,11553.27
982,15842.22
983,15551.55
984,42208.3
985,17859.01
986,11377.28
987,33112.94
988,10513.63
989,0.0
990,9244.04
991,14638.5
992,9533.84
993,13587.12
994,10357.93
995,250.0
996,250.0
997,250.0
998,250.0
999,250.0
1000,20692.86
1001,250.0
1002,250.0
1003,2528.53
1004,0.0
1005,15364.97
1006,15536.35
1007,405.0
1008,42776.17
1009,0.0
1010,7391.87
1011,19323.1
1012,21571.91
1013,16991.36
1014,0.0
1015,14106.1
1016,7497.83
1017,1941.28
1018,14498.74
1019,22943.38
1020,20015.14
1021,7876.36
1022,9234.02
1023,21684.64
1024,10156.7
1025,193.15
1026,8988.49
1027,16418.75
1028,15426.7
1029,23758.94
1030,0.0
1031,0.0
1032,20086.57
1033,14395.7
1034,17182.02
1035,12782.4
1036,21652.1
1037,40283.45
1038,1525.43
1039,0.0
1040,16625.13
1041,17482.64
1042,10305.65
1043,1620.0
1044,15662.44
1045,27212.34
1046,7589.67
1047,40260.75
1048,18867.59
1049,57035.8
1050,3294.55
1051,44750.36
1052,0.0
1053,3500.44
1054,26838.05
1055,10689.93
1056,4070.56
1057,3288.33
1058,3288.33
1059,3288.33
1060,3288.33
1061,3288.33
1062,21547.48
1063,3288.03
1064,3287.95
1065,3287.95
1066,3287.95
1067,3287.99
1068,3287.95
1069,3287.95
1070,3287.95
1071,3287.94
1072,3287.94
1073,3287.93
1074,3287.93
1075,3287.95
1076,3287.95
1077,3287.9
1078,3287.93
1079,3287.92
1080,3287.93
1081,3287.95
1082,3287.95
1083,3287.92
1084,3287.9
1085,3287.9
1086,3287.91
1087,3287.94
1088,3287.93
1089,3287.95
1090,3287.9
1091,3287.95
1092,5181.01
1093,12696.23
1094,6207.37
1095,3996.0
1096,0.0
1097,43763.24
1098,575.0
1099,14752.3
1100,3287.92
1101,0.0
1102,3035.19
1103,4808.4
1104,0.0
1105,9364.99
1106,17395.13
1107,10977.91
1108,8996.66
1109,10941.84
1110,24623.84
1111,2213.5
1112,0.0
1113,24392.23
1114,8706.01
1115,13171.99
1116,17900.78
1117,17517.81
1118,805.0
1119,0.0
1120,39986.73
1121,3456.0
1122,26687.81
1123,5892.29
1124,11006.86
1125,250.0
1126,12859.07
1127,19117.63
1128,7935.7
1129,17105.0
1130,7940.19
1131,44461.33
1132,8430.14
1133,2106.12
1134,0.0
1135,12092.45
1136,43341.47
1137,8714.1
1138,8055.63
1139,23229.83
1140,45248.84
1141,17739.45
1142,3209.0
1143,0.0
1144,36439.64
1145,0.0
1146,25182.92
1147,11015.72
1148,16582.36
1149,0.0
1150,35182.83
1151,0.0
1152,18244.37
1153,4900.0
1154,12510.14
1155,16574.22
1156,17553.11
1157,17707.57
1158,9489.62
1159,21154.34
1160,20563.7
1161,30146.84
1162,18090.73
1163,20178.15
1164,2797.16
1165,250.0
1166,21162.35
1167,23581.44
1168,1637.54
1169,19065.79
1170,1271.84
1171,19383.26
1172,16520.33
1173,21126.58
1174,15850.85
1175,250.0
1176,4110.98
1177,8559.39
1178,36397.91
1179,15320.9
1180,3281.0
1181,11063.7
1182,14756.8
1183,11975.06
1184,1012.56
1185,1012.56
1186,10860.29
1187,5138.28
1188,22807.71
1189,16549.16
1190,2815.61
1191,32091.91
1192,0.0
1193,26814.26
1194,17188.28
1195,0.0
1196,16501.22
1197,15277.83
1198,5256.32
1199,10474.88
1200,0.0
1201,759.42
1202,0.0
1203,9450.73
1204,26777.77
1205,0.0
1206,0.0
1207,17632.95
1208,7688.56
1209,13950.2
1210,2649.4
1211,13286.38
1212,19337.3
1213,13781.92
1214,0.0
1215,14437.68
1216,10651.03
1217,0.0
1218,10982.55
1219,8238.23
1220,26982.29
1221,7015.5
1222,250.0
1223,18037.1
1224,11220.89
1225,7288.47
1226,272.93
1227,250.0
1228,8002.17
1229,17162.75
1230,28583.36
1231,7919.83
1232,177.58
1233,33080.31
1234,21766.15
1235,5000.0
1236,18801.85
1237,910.0
1238,35105.14
1239,0.0
1240,0.0
1241,27703.24
1242,45706.61
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,17384.95
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,8553.95
1316,0.0
1317,18975.89
1318,10268.73
1319,10105.28
1320,26359.58
1321,6686.94
1322,43361.56
1323,77773.09
1324,13011.89
1325,0.0
1326,12639.42
1327,120.0
1328,16904.08
1329,0.0
1330,0.0
1331,19824.13
1332,41389.18
1333,0.0
1334,3076.98
1335,17847.31
1336,17654.1
1337,0.0
1338,0.0
1339,0.0
1340,11962.0
1341,65.0
1342,36228.44
1343,46662.54
1344,19701.59
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,7119.73
1354,10590.15
1355,0.0
1356,7801.52
1357,2202.0
1358,32588.5
1359,0.0
1360,18240.56
1361,6312.79
1362,17468.79
1363,0.0
1364,0.0
1365,11341.21
1366,27240.51
1367,26910.77
1368,18076.91
1369,22195.54
1370,21923.35
1371,17721.22
1372,3865.0
1373,7671.15
1374,3928.81
1375,3928.82
1376,15424.82
1377,11551.58
1378,1349.98
1379,0.0
1380,0.0
1381,23748.72
1382,15277.85
1383,1110.0
1384,1100.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,35737.48
1390,9225.58
1391,12204.65
1392,28484.68
1393,0.0
1394,7877.31
1395,15277.87
1396,1896.71
1397,0.0
1398,27528.98
1399,11058.6
1400,3769.78
1401,22452.04
1402,35504.21
1403,21252.58
1404,0.0
1405,2096.76
1406,21725.5
1407,2568.82
1408,15365.2
1409,2562.78
1410,17021.65
1411,17755.74
1412,29381.46
1413,7805.2
1414,10402.13
1415,5945.56
1416,8039.52
1417,2751.72
1418,7345.64
1419,0.0
1420,15743.89
1421,576.0
1422,15277.84
1423,19725.39
1424,0.0
1425,0.0
1426,9361.82
1427,0.0
1428,25831.46
1429,17825.42
1430,250.0
1431,47538.29
1432,11644.54
1433,0.0
1434,38115.14
1435,948.65
1436,4624.97
1437,15922.37
1438,17364.43
1439,15261.99
1440,20224.33
1441,0.0
1442,250.0
1443,17157.03
1444,895.26
1445,23572.8
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,4570.77
1453,19706.49
1454,21492.18
1455,7933.51
1456,2910.47
1457,17351.26
1458,10465.24
1459,20341.79
1460,4786.04
1461,26369.31
1462,26415.41
1463,14697.87
1464,34916.62
1465,10608.78
1466,33619.53
1467,4048.67
1468,71656.45
1469,17734.28
1470,7403.2
1471,9667.69
1472,60046.38
1473,3175.82
1474,21530.54
1475,62488.59
1476,1900.57
1477,40149.71
1478,12702.02
1479,16686.23
1480,15723.68
1481,21665.46
1482,4733.85
1483,24235.48
1484,0.0
1485,8233.62
1486,88476.88
1487,10615.19
1488,25393.45
1489,41750.39
1490,11797.16
1491,1650.0
1492,32456.89
1493,33766.97
1494,0.0
1495,43327.55
1496,17862.76
1497,2563.88
1498,7765.49
1499,20020.93
1500,0.0
1501,1500.0
1502,0.0
1503,4137.52
1504,30105.51
1505,6327.53
1506,17975.98
1507,6599.29
1508,16650.25
1509,18360.34
1510,0.0
1511,0.0
1512,6167.87
1513,27801.57
1514,26021.87
1515,0.0
1516,7019.05
1517,8039.47
1518,1425.0
1519,40874.41
1520,14363.88
1521,4879.59
1522,8888.06
1523,0.0
1524,14907.34
1525,3859.56
1526,38819.42
1527,26302.35
1528,24911.77
1529,28965.15
1530,14600.63
1531,0.0
1532,0.0
1533,0.0
1534,24680.94
1535,14508.66
1536,33199.08
1537,80440.06
1538,29659.44
1539,0.0
1540,7814.1
1541,0.0
1542,52762.5
1543,18289.41
1544,9333.84
1545,0.0
1546,3056.16
1547,10400.02
1548,14055.78
1549,17305.98
1550,14189.67
1551,0.0
1552,9024.61
1553,4299.82
1554,36620.48
1555,15076.89
1556,8495.82
1557,44283.61
1558,26226.99
1559,16386.98
1560,97031.05
1561,8691.36
1562,508.75
1563,20861.96
1564,15437.67
1565,22032.86
1566,2525.49
1567,21904.08
1568,5112.76
1569,17473.46
1570,6682.2
1571,26183.56
1572,5660.14
1573,27047.79
1574,20090.47
1575,13918.02
1576,13556.06
1577,15791.02
1578,2231.46
1579,17868.59
1580,17565.13
1581,250.0
1582,250.0
1583,27145.56
1584,34690.96
1585,9226.3
1586,35992.15
1587,18832.44
1588,250.0
1589,250.0
1590,15687.71
1591,6275.6
1592,24863.19
1593,408.8
1594,5279.02
1595,17568.58
1596,1577.55
1597,11146.19
1598,9510.09
1599,0.0
1600,1811.62
1601,21658.76
1602,5847.1
1603,28335.63
1604,42346.91
1605,38550.68
1606,4142.03
1607,250.0
1608,11149.37
1609,8085.15
1610,7818.05
1611,10074.61
1612,0.0
1613,14373.91
1614,15277.83
1615,32245.9
1616,25667.2
1617,14458.29
1618,13400.13
1619,17242.6
1620,29861.53
1621,15551.52
1622,17763.73
1623,16217.31
1624,32387.62
1625,7257.48
1626,8547.74
1627,6741.46
1628,7559.0
1629,11661.57
1630,75335.48
1631,20595.39
1632,16663.26
1633,10729.54
1634,1437.17
1635,24623.6
1636,5881.85
1637,22082.96
1638,6570.0
1639,14866.78
1640,18572.43
1641,2074.28
1642,12342.87
1643,11661.38
1644,19659.29
1645,6000.0
1646,29768.34
1647,21773.14
1648,17161.21
1649,18109.28
1650,25711.65
1651,3964.43
1652,11938.69
1653,10798.05
1654,14684.31
1655,19207.94
1656,11314.12
1657,14394.88
1658,19741.7
1659,7066.14
1660,5000.0
1661,9549.36
1662,7799.52
1663,21357.48
1664,30618.05
1665,16080.38
1666,13576.49
1667,9655.0
1668,21771.14
1669,85688.69
1670,15427.61
1671,20405.88
1672,16055.79
1673,1563.26
1674,16484.82
1675,35194.21
1676,4337.7
1677,5001.12
1678,50097.98
1679,26177.8
1680,802.15
1681,10951.64
1682,26027.77
1683,12000.0
1684,14306.83
1685,5599.91
1686,16464.73
1687,16247.86
1688,14876.12
1689,9327.46
1690,0.0
1691,0.0
1692,21404.66
1693,7645.74
1694,22028.13
1695,3804.31
1696,0.0
1697,8006.75
1698,15405.66
1699,10924.78
1700,0.0
1701,17501.99
1702,24057.29
1703,9583.63
1704,34166.22
1705,19083.6
1706,16781.42
1707,8580.32
1708,14854.46
1709,14654.72
1710,45001.52
1711,16827.88
1712,8907.44
1713,16925.21
1714,15549.02
1715,250.0
1716,18964.45
1717,6568.37
1718,15447.85
1719,7911.9
1720,14292.4
1721,25905.23
1722,0.0
1723,1063.6
1724,0.0
1725,3247.0
1726,2132.0
1727,0.0
1728,2132.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,18075.55
1739,14284.37
1740,16891.3
1741,7164.59
1742,4603.86
1743,22343.98
1744,21344.88
1745,13528.17
1746,33947.15
1747,15463.34
1748,184.6
1749,45160.58
1750,735.0
1751,4389.78
1752,3188.03
1753,967.88
1754,10430.16
1755,8853.23
1756,10020.93
1757,19337.19
1758,16572.68
1759,16059.24
1760,16713.52
1761,15739.13
1762,17965.62
1763,15277.83
1764,7622.81
1765,14189.69
1766,16300.89
1767,14700.26
1768,0.0
1769,25677.89
1770,23735.92
1771,12271.74
1772,9419.57
1773,11452.85
1774,21388.71
1775,21756.17
1776,15277.83
1777,4334.91
1778,2763.54
1779,18608.36
1780,15930.96
1781,12997.54
1782,17724.84
1783,14574.88
1784,12284.68
1785,26845.34
1786,0.0
1787,25080.25
1788,1766.74
1789,3119.02
1790,18058.84
1791,1574.59
1792,7070.0
1793,6215.86
1794,13223.86
1795,17762.17
1796,493.2
1797,15699.05
1798,31968.34
1799,0.0
1800,0.0
1801,0.0
1802,34477.67
1803,45333.73
1804,22339.92
1805,0.0
1806,0.0
1807,0.0
1808,60933.35
1809,18268.91
1810,16699.6
1811,5570.85
1812,17765.65
1813,23023.92
1814,5347.93
1815,17786.9
1816,0.0
1817,10797.81
1818,8830.77
1819,4679.8
1820,21805.94
1821,18940.43
1822,5000.0
1823,3296.86
1824,28237.52
1825,40325.28
1826,15667.93
1827,15174.57
1828,22138.64
1829,0.0
1830,0.0
1831,15277.79
1832,7061.51
1833,19600.73
1834,9460.64
1835,9353.43
1836,12457.68
1837,12218.39
1838,24318.35
1839,4698.08
1840,17458.74
1841,19297.59
1842,8247.46
1843,5266.11
1844,11665.6
1845,8188.55
1846,10518.67
1847,14819.29
1848,14820.41
1849,21791.68
1850,0.0
1851,10051.37
1852,46766.53
1853,7044.73
1854,25493.81
1855,16421.74
1856,7420.31
1857,868.43
1858,17977.4
1859,2732.95
1860,15914.12
1861,824.0
1862,17993.04
1863,16081.51
1864,13671.36
1865,2130.14
1866,4931.27
1867,10924.82
1868,18616.87
1869,22342.8
1870,14929.16
1871,20609.45
1872,18966.7
1873,11954.32
1874,24557.91
1875,10276.67
1876,20612.26
1877,2394.35
1878,12151.48
1879,250.0
1880,4353.29
1881,14756.8
1882,14632.97
1883,13824.34
1884,26963.69
1885,2576.87
1886,819.53
1887,67354.28
1888,17716.11
1889,6172.53
1890,8548.58
1891,17318.63
1892,28377.45
1893,18767.78
1894,0.0
1895,22347.47
1896,42263.77
1897,11609.43
1898,17303.06
1899,16805.49
1900,18943.36
1901,25069.57
1902,18250.35
1903,4908.61
1904,24321.43
1905,18021.29
1906,7563.14
1907,14798.1
1908,15204.84
1909,21545.73
1910,17544.45
1911,15365.23
1912,10930.11
1913,0.0
1914,11592.19
1915,16904.42
1916,14378.36
1917,14378.33
1918,14378.36
1919,14378.34
1920,19878.64
1921,21387.72
1922,20545.34
1923,0.0
