,BasePay
444,122404.98
445,171236.09
446,122404.97
447,122404.97
448,188288.1
449,105934.65
450,166066.08
451,148260.81
452,187982.18
453,187976.14
454,88199.6
455,187855.73
456,127203.01
457,137026.86
458,126968.05
459,99014.4
460,137399.95
461,106441.64
462,102242.01
463,75870.3
464,130481.51
465,130457.9
466,155276.21
467,140563.98
468,142248.5
469,130481.54
470,90108.62
471,149050.76
472,126292.58
473,105934.66
474,130476.4
475,130543.29
476,112421.41
477,186541.05
478,140546.87
479,176050.04
480,90094.2
481,130466.65
482,105934.66
483,130481.5
484,130505.19
485,126732.39
486,130466.6
487,77301.9
488,186341.79
489,105934.64
490,149044.77
491,171044.1
492,129252.01
493,105934.64
494,123013.0
495,87384.6
496,123105.0
497,185724.5
498,185724.5
499,185724.5
500,185724.5
501,185724.5
502,185724.49
503,185724.49
504,185724.48
505,185724.47
506,185695.47
507,185695.47
508,185695.47
509,185695.46
510,185695.45
511,185695.43
512,185695.43
513,185695.42
514,185695.39
515,185695.38
516,185695.37
517,185695.36
518,185695.36
519,185695.36
520,185695.36
521,185695.36
522,103567.01
523,51437.99
524,95632.6
525,184700.97
526,185541.91
527,166570.2
528,130476.4
529,175345.82
530,181066.7
531,117225.66
532,130457.96
533,182297.76
534,159457.99
535,123105.01
536,176127.11
537,99014.4
538,180671.06
539,140441.89
540,89755.51
541,141720.27
542,158223.4
543,122404.99
544,130457.94
545,123105.02
546,184484.87
547,183653.74
548,183653.74
549,181718.79
550,140546.89
551,168713.2
552,130481.62
553,140546.85
554,175345.8
555,105934.65
556,155013.0
557,140546.86
558,130457.89
559,175170.24
560,152743.07
561,67817.57
562,183754.57
563,105934.68
564,170596.03
565,183653.74
566,105934.66
567,181955.76
568,159624.81
569,112401.11
570,147158.86
571,105934.66
572,161964.13
573,171236.01
574,171236.0
575,105934.64
576,98628.22
577,111580.9
578,135363.4
579,105934.68
580,94298.49
581,171236.01
582,183038.47
583,130504.59
584,133399.04
585,123105.03
586,140810.55
587,105934.68
588,156312.0
589,178162.65
590,130481.57
591,153221.52
592,130457.95
593,122418.29
594,168587.21
595,149050.75
596,158885.25
597,166062.06
598,166062.03
599,123104.99
600,156312.0
601,131668.11
602,128147.09
603,105934.69
604,171236.02
605,149050.72
606,173585.32
607,89394.0
608,123105.01
609,103491.94
610,140546.87
611,158400.22
612,114085.47
613,164424.0
614,105934.66
615,105934.67
616,168692.64
617,181955.77
618,117283.28
619,172071.52
620,130466.56
621,115294.0
622,123104.99
623,127203.03
624,105934.69
625,105934.65
626,100497.64
627,123104.99
628,181641.48
629,149050.44
630,105934.67
631,130457.96
632,135660.87
633,181584.0
634,130457.92
635,105934.67
636,156312.0
637,106483.83
638,112401.07
639,130457.92
640,105934.64
641,77580.4
642,111581.04
643,69076.01
644,96616.8
645,123105.02
646,105562.4
647,112421.44
648,105934.67
649,149023.98
650,105934.65
651,180857.67
652,177258.82
653,77580.41
654,105934.64
655,126968.05
656,180574.5
657,168561.2
658,130505.19
659,176878.49
660,176878.49
661,176878.49
662,176878.49
663,130457.93
664,176856.18
665,176856.19
666,176856.18
667,176856.18
668,176856.18
669,176856.19
670,176856.23
671,176856.18
672,176856.18
673,176856.19
674,176856.17
675,130457.76
676,122405.0
677,122404.99
678,105934.64
679,105934.66
680,105934.66
681,126968.07
682,105934.65
683,105934.65
684,77580.41
685,76205.47
686,179832.14
687,105934.63
688,130466.64
689,171265.8
690,112421.43
691,90812.64
692,105934.65
693,105934.65
694,77580.4
695,149023.97
696,112421.38
697,174229.38
698,88400.7
699,130457.93
700,105934.64
701,162441.04
702,105934.67
703,123105.02
704,174391.95
705,105934.64
706,178866.8
707,178866.8
708,135363.35
709,123105.01
710,122404.99
711,140546.87
712,161966.01
713,177810.58
714,123105.0
715,123104.99
716,123105.02
717,138086.86
718,176138.03
719,104065.55
720,130481.55
721,175286.05
722,178305.38
723,122404.99
724,77521.77
725,122404.99
726,105934.66
727,156312.01
728,141655.8
729,147424.92
730,173160.17
731,173904.42
732,134605.88
733,105934.65
734,140546.85
735,130466.61
736,106441.6
737,112421.45
738,123105.0
739,105934.68
740,105934.65
741,111601.41
742,176856.19
743,105934.67
744,123105.01
745,64386.41
746,130481.51
747,127202.99
748,83511.28
749,177413.32
750,151554.0
751,140546.86
752,105934.67
753,166062.0
754,153905.73
755,105934.68
756,177205.08
757,177205.08
758,177205.08
759,177205.08
760,177200.17
761,103321.52
762,161044.01
763,91486.8
764,112421.46
765,130505.18
766,121630.54
767,176930.25
768,149050.74
769,130393.9
770,176878.49
771,176878.49
772,176878.49
773,176878.49
774,176878.49
775,127203.02
776,123105.03
777,176856.3
778,176856.18
779,176856.18
780,176856.18
781,176856.18
782,176856.18
783,176856.18
784,176856.18
785,176856.18
786,176856.18
787,176856.18
788,122404.98
789,149044.96
790,115295.04
791,146919.0
792,173074.44
793,122405.0
794,122404.99
795,116442.95
796,149044.47
797,139868.98
798,122405.0
799,157240.2
800,176086.04
801,176050.04
802,89416.8
803,176028.39
804,122404.99
805,105934.67
806,162441.05
807,122404.99
808,149023.83
809,157127.95
810,105934.64
811,123105.0
812,105934.64
813,130481.59
814,130466.64
815,159418.08
816,175345.94
817,130466.56
818,149050.75
819,175285.88
820,175285.84
821,175285.83
822,175285.82
823,175285.82
824,175285.81
825,175285.81
826,175285.81
827,175285.8
828,175285.8
829,67709.64
830,140748.0
831,105934.65
832,110638.64
833,130481.58
834,174993.97
835,140546.87
836,88429.53
837,174862.52
838,174862.48
839,174377.75
840,140010.95
841,146514.88
842,104298.68
843,130457.94
844,110638.66
845,130481.59
846,174641.62
847,140546.88
848,150897.77
849,130466.5
850,105934.64
851,169520.0
852,118075.54
853,174379.35
854,130466.6
855,174365.49
856,174354.27
857,122404.99
858,140441.85
859,174229.39
860,174229.59
861,174229.58
862,174229.56
863,174229.53
864,174229.44
865,174229.42
866,174229.39
867,174229.39
868,174229.38
869,174229.38
870,174229.38
871,105404.0
872,105934.64
873,109749.06
874,165839.7
875,105934.64
876,112401.07
877,149023.62
878,105934.65
879,127203.0
880,105934.64
881,112758.78
882,164371.8
883,126968.11
884,145397.21
885,149103.78
886,61214.4
887,105934.64
888,165289.56
889,173509.18
890,149050.73
891,105934.66
892,105934.72
893,120729.63
894,123105.01
895,88062.0
896,63721.66
897,168282.05
898,130481.55
899,171566.28
900,107007.01
901,105934.65
902,115966.61
903,130481.54
904,105738.66
905,172784.7
906,122405.0
907,123105.01
908,172639.93
909,105934.69
910,136434.88
911,172495.27
912,71230.0
913,146838.59
914,153513.84
915,105934.66
916,171065.59
917,172211.48
918,105934.64
919,105667.63
920,105934.65
921,105934.64
922,105934.64
923,171991.61
924,135387.05
925,123105.0
926,140546.87
927,96430.24
928,105934.67
929,105934.64
930,105934.64
931,105934.65
932,105934.65
933,149044.41
934,105934.68
935,130457.94
936,112441.8
937,112421.43
938,86019.1
939,169572.0
940,171566.28
941,105934.65
942,127681.16
943,149050.49
944,163240.28
945,130457.95
946,99691.31
947,154939.5
948,169572.0
949,105934.65
950,171060.82
951,112401.08
952,159498.81
953,105934.65
954,140441.88
955,105934.67
956,102868.73
957,160812.19
958,89056.93
959,130481.55
960,170844.78
961,122404.99
962,130481.53
963,153172.6
964,134097.91
965,78067.61
966,155189.98
967,128742.45
968,170572.0
969,162441.06
970,105934.68
971,162362.78
972,124863.62
973,116781.05
974,69076.0
975,130457.96
976,122404.98
977,110118.84
978,130466.58
979,161479.27
980,112401.08
981,105934.64
982,123105.0
983,122405.0
984,103971.4
985,109160.81
986,135103.4
987,131715.02
988,159511.95
989,169941.65
990,96252.08
991,149050.78
992,105934.64
993,156312.0
994,105934.67
995,169572.08
996,169572.06
997,169572.05
998,169572.01
999,169572.0
1000,140546.84
1001,169520.0
1002,169520.0
1003,167240.64
1004,169647.29
1005,105934.64
1006,122283.44
1007,168950.01
1008,112401.06
1009,169276.41
1010,149050.67
1011,123105.01
1012,105934.67
1013,105934.68
1014,169184.06
1015,130434.33
1016,122404.99
1017,166457.02
1018,105934.65
1019,127203.02
1020,112401.07
1021,78332.62
1022,159677.45
1023,105934.67
1024,105934.64
1025,168611.53
1026,77580.53
1027,122594.0
1028,123012.99
1029,105934.64
1030,168603.2
1031,168593.93
1032,130481.53
1033,149050.77
1034,105934.66
1035,123105.01
1036,135363.35
1037,112421.44
1038,166852.4
1039,168371.77
1040,105934.65
1041,105934.68
1042,149044.69
1043,166682.0
1044,105934.65
1045,130457.95
1046,88062.0
1047,112421.45
1048,129864.73
1049,79246.4
1050,164684.55
1051,112421.46
1052,167900.85
1053,164352.61
1054,130343.72
1055,105934.71
1056,130457.96
1057,164373.38
1058,164373.38
1059,164373.38
1060,164373.37
1061,164373.32
1062,105617.96
1063,164352.63
1064,164352.66
1065,164352.66
1066,164352.66
1067,164352.62
1068,164352.66
1069,164352.65
1070,164352.64
1071,164352.65
1072,164352.65
1073,164352.66
1074,164352.66
1075,164352.63
1076,164352.63
1077,164352.68
1078,164352.64
1079,164352.64
1080,164352.63
1081,164352.6
1082,164352.58
1083,164352.6
1084,164352.62
1085,164352.6
1086,164352.59
1087,164352.55
1088,164352.53
1089,164352.51
1090,164352.54
1091,164352.38
1092,162441.01
1093,154910.03
1094,161364.54
1095,163550.02
1096,167519.48
1097,112421.49
1098,77580.41
1099,130457.87
1100,164165.95
1101,167446.8
1102,164373.38
1103,88423.98
1104,167369.95
1105,157996.28
1106,105934.67
1107,156312.0
1108,149050.77
1109,156312.0
1110,110638.66
1111,101064.95
1112,166983.47
1113,110638.67
1114,149050.79
1115,105934.66
1116,127886.01
1117,105934.66
1118,166062.05
1119,166858.01
1120,112401.04
1121,163374.4
1122,118177.59
1123,160928.86
1124,139621.91
1125,159457.99
1126,153172.6
1127,147546.47
1128,158709.08
1129,130589.91
1130,122404.99
1131,112421.45
1132,149050.66
1133,164424.0
1134,166498.83
1135,153172.6
1136,112421.46
1137,140441.89
1138,149024.02
1139,123104.99
1140,112401.09
1141,105934.65
1142,163017.24
1143,166213.58
1144,112421.44
1145,166062.05
1146,117283.24
1147,105934.66
1148,130434.16
1149,165873.28
1150,89815.6
1151,165862.79
1152,111825.01
1153,160959.56
1154,130456.99
1155,130481.46
1156,148260.81
1157,104814.71
1158,129456.71
1159,106257.4
1160,117283.24
1161,116975.68
1162,122420.0
1163,105934.67
1164,162896.24
1165,159457.94
1166,123105.0
1167,135339.73
1168,163999.99
1169,105934.66
1170,164352.62
1171,127203.01
1172,105934.66
1173,105934.66
1174,102308.9
1175,164372.0
1176,140546.85
1177,121628.01
1178,112421.45
1179,130434.33
1180,162201.31
1181,130481.58
1182,123105.01
1183,149050.79
1184,164352.64
1185,164352.63
1186,122404.99
1187,160180.98
1188,105934.68
1189,130457.88
1190,162441.06
1191,112421.46
1192,165242.19
1193,112401.06
1194,105934.66
1195,165201.4
1196,123104.99
1197,122404.99
1198,130481.53
1199,154673.99
1200,165127.4
1201,164352.64
1202,165104.4
1203,128123.97
1204,117283.26
1205,165046.17
1206,165046.15
1207,105934.67
1208,89705.38
1209,105934.66
1210,77580.41
1211,105934.64
1212,127203.01
1213,128123.95
1214,164876.6
1215,122404.98
1216,105934.63
1217,164850.39
1218,144362.14
1219,149755.35
1220,115125.18
1221,149023.98
1222,164444.2
1223,140546.86
1224,130170.34
1225,149050.79
1226,164352.54
1227,164372.01
1228,121829.81
1229,105934.66
1230,115946.22
1231,123192.11
1232,164352.66
1233,130457.91
1234,105934.67
1235,159487.34
1236,130481.47
1237,163553.09
1238,126968.09
1239,164436.18
1240,164425.0
1241,136687.95
1242,112401.03
1243,164373.4
1244,164373.4
1245,164373.39
1246,164373.39
1247,164373.39
1248,164373.38
1249,164373.38
1250,164373.38
1251,164373.38
1252,164373.38
1253,164373.38
1254,164373.38
1255,164373.38
1256,164373.38
1257,164373.37
1258,105934.64
1259,164352.67
1260,164352.66
1261,164352.66
1262,164352.66
1263,164352.66
1264,164352.66
1265,164352.66
1266,164352.66
1267,164352.66
1268,164352.66
1269,164352.66
1270,164352.66
1271,164352.66
1272,164352.66
1273,164352.66
1274,164352.66
1275,164352.66
1276,164352.66
1277,164352.66
1278,164352.66
1279,164352.65
1280,164352.65
1281,164352.65
1282,164352.65
1283,164352.65
1284,164352.65
1285,164352.65
1286,164352.65
1287,164352.65
1288,164352.65
1289,164352.64
1290,164352.64
1291,164352.64
1292,164352.64
1293,164352.63
1294,164352.63
1295,164352.63
1296,164352.63
1297,164352.63
1298,164352.63
1299,164352.63
1300,164352.63
1301,164352.63
1302,164352.62
1303,164352.62
1304,164352.62
1305,164352.61
1306,164352.6
1307,164352.59
1308,164352.59
1309,164352.59
1310,164352.58
1311,164352.58
1312,164352.54
1313,164352.54
1314,164352.41
1315,149050.67
1316,164345.11
1317,122243.94
1318,105934.71
1319,149050.52
1320,130457.97
1321,149050.56
1322,112401.08
1323,56220.0
1324,104814.74
1325,164211.77
1326,101027.4
1327,164070.75
1328,105934.67
1329,164103.72
1330,164096.27
1331,130457.79
1332,112421.43
1333,164071.52
1334,89078.1
1335,121645.25
1336,105934.68
1337,164041.79
1338,164041.46
1339,164020.71
1340,99000.0
1341,163929.74
1342,112380.71
1343,111663.34
1344,144258.69
1345,163929.86
1346,163929.83
1347,163929.78
1348,163929.76
1349,163929.74
1350,163929.74
1351,163929.74
1352,163929.74
1353,101947.66
1354,127886.02
1355,163845.0
1356,156027.31
1357,107023.2
1358,123170.03
1359,163806.21
1360,112421.45
1361,149050.73
1362,105934.7
1363,163785.49
1364,163768.65
1365,123192.16
1366,136501.28
1367,117262.93
1368,127203.0
1369,105934.65
1370,130481.59
1371,133647.74
1372,159821.08
1373,140865.17
1374,159693.53
1375,159693.52
1376,123105.0
1377,140546.87
1378,162249.88
1379,163574.51
1380,163573.5
1381,127886.0
1382,122404.96
1383,162441.05
1384,162441.04
1385,163538.6
1386,163451.6
1387,163451.59
1388,163438.13
1389,127677.6
1390,89416.8
1391,86840.0
1392,126984.0
1393,163346.8
1394,123105.03
1395,122404.99
1396,149044.62
1397,163285.14
1398,126984.0
1399,101989.63
1400,159457.26
1401,124568.32
1402,127677.6
1403,130505.0
1404,163155.51
1405,88400.7
1406,126393.65
1407,160529.83
1408,123104.98
1409,160529.74
1410,140546.88
1411,105934.64
1412,130457.41
1413,85270.03
1414,105934.66
1415,103290.56
1416,105934.67
1417,160209.96
1418,77580.4
1419,162944.57
1420,123105.02
1421,162323.39
1422,122405.0
1423,115873.07
1424,162857.57
1425,162857.56
1426,123192.2
1427,162808.88
1428,112421.44
1429,105934.65
1430,162514.0
1431,112421.45
1432,89416.8
1433,162699.26
1434,112421.45
1435,134074.15
1436,130481.59
1437,146649.31
1438,105934.64
1439,122007.76
1440,130457.94
1441,162527.43
1442,162240.46
1443,145321.6
1444,133387.55
1445,123921.07
1446,162441.06
1447,162441.03
1448,162441.03
1449,162441.01
1450,162441.01
1451,162441.0
1452,157858.05
1453,105934.65
1454,112421.44
1455,122404.99
1456,149045.04
1457,105934.67
1458,130481.55
1459,105934.67
1460,130476.39
1461,126984.0
1462,126984.0
1463,130457.96
1464,101345.76
1465,151554.0
1466,114937.1
1467,158087.51
1468,62712.06
1469,105934.65
1470,112421.43
1471,75291.37
1472,97758.37
1473,158751.73
1474,130481.51
1475,78100.39
1476,130457.87
1477,112421.41
1478,149023.9
1479,92782.63
1480,123105.0
1481,122404.98
1482,156916.91
1483,126952.57
1484,161636.03
1485,143742.18
1486,49340.0
1487,150940.19
1488,105934.66
1489,110242.93
1490,105934.64
1491,159737.96
1492,112421.44
1493,126968.08
1494,161361.81
1495,106065.17
1496,110638.65
1497,148909.65
1498,149023.93
1499,135314.45
1500,161254.64
1501,159737.99
1502,161219.01
1503,149050.77
1504,127477.29
1505,146125.06
1506,105934.66
1507,149050.55
1508,123105.0
1509,141621.16
1510,161044.0
1511,161031.61
1512,154858.96
1513,113225.29
1514,105934.66
1515,160928.82
1516,153902.71
1517,130481.47
1518,159457.92
1519,112416.8
1520,105934.7
1521,149104.13
1522,112155.05
1523,160725.5
1524,104154.6
1525,156306.93
1526,106065.18
1527,126984.0
1528,126922.95
1529,109729.2
1530,146006.09
1531,160598.73
1532,160598.72
1533,160598.71
1534,105934.69
1535,115295.02
1536,126873.14
1537,49340.01
1538,130871.01
1539,160480.9
1540,130481.51
1541,160468.7
1542,107690.63
1543,105934.64
1544,132474.12
1545,160415.66
1546,149990.75
1547,127969.56
1548,122404.99
1549,105934.66
1550,122404.99
1551,160257.08
1552,146186.13
1553,147766.97
1554,111499.51
1555,120798.63
1556,77580.4
1557,110880.9
1558,121916.96
1559,105934.65
1560,31848.0
1561,143467.09
1562,159457.99
1563,139079.51
1564,140546.9
1565,130481.56
1566,157396.59
1567,105934.67
1568,86756.61
1569,105934.68
1570,104987.85
1571,124968.0
1572,149044.9
1573,70670.96
1574,130457.94
1575,128170.22
1576,127203.02
1577,105857.35
1578,157532.89
1579,105934.63
1580,105934.65
1581,159457.99
1582,159457.98
1583,111890.05
1584,112421.49
1585,140433.05
1586,112401.08
1587,105253.26
1588,159406.01
1589,159406.0
1590,130481.59
1591,149050.24
1592,123104.99
1593,159128.42
1594,130457.94
1595,105934.65
1596,130457.9
1597,86249.25
1598,130457.92
1599,159402.37
1600,149033.91
1601,105934.66
1602,90094.2
1603,106125.77
1604,112401.1
1605,106065.16
1606,89078.1
1607,159057.05
1608,86332.15
1609,77569.0
1610,112401.08
1611,149050.75
1612,159117.85
1613,140546.92
1614,122404.99
1615,117303.52
1616,110806.97
1617,144582.9
1618,130481.55
1619,105934.65
1620,112421.45
1621,122404.98
1622,130481.54
1623,140546.88
1624,112421.45
1625,151553.96
1626,140433.05
1627,104661.67
1628,151174.24
1629,105934.64
1630,44390.4
1631,130457.91
1632,105934.66
1633,77580.4
1634,149023.2
1635,126984.0
1636,148969.96
1637,123105.0
1638,77580.4
1639,105934.68
1640,140002.84
1641,156483.22
1642,130434.29
1643,122405.0
1644,138878.88
1645,152503.34
1646,110242.88
1647,109942.38
1648,134807.11
1649,105934.64
1650,127431.51
1651,153334.65
1652,130505.21
1653,105934.65
1654,117646.08
1655,105934.65
1656,100281.13
1657,143947.09
1658,130481.54
1659,77287.11
1660,153323.83
1661,144789.7
1662,150504.25
1663,117283.23
1664,127677.56
1665,122404.99
1666,128123.98
1667,77580.4
1668,130481.52
1669,9867.93
1670,123105.0
1671,105934.68
1672,112421.42
1673,156391.44
1674,130481.52
1675,112401.07
1676,149050.75
1677,112421.44
1678,107144.76
1679,123240.0
1680,90094.21
1681,98906.26
1682,126617.7
1683,145891.45
1684,123105.0
1685,112421.46
1686,123105.02
1687,102578.76
1688,130466.78
1689,90094.2
1690,157714.54
1691,157709.99
1692,117303.66
1693,71499.38
1694,120396.0
1695,149024.01
1696,157633.02
1697,105934.65
1698,96546.12
1699,122405.0
1700,157539.97
1701,105934.65
1702,112380.71
1703,88062.0
1704,112421.45
1705,123105.03
1706,105934.68
1707,122665.5
1708,105934.68
1709,122405.0
1710,108058.92
1711,140546.88
1712,148448.51
1713,122404.98
1714,123104.99
1715,157004.78
1716,130505.22
1717,150126.33
1718,122405.0
1719,77580.4
1720,142922.01
1721,112421.44
1722,157181.85
1723,156118.23
1724,157181.83
1725,153934.83
1726,155049.82
1727,157181.82
1728,155049.82
1729,157181.82
1730,157181.82
1731,157181.81
1732,157181.81
1733,157181.8
1734,157181.8
1735,157181.8
1736,157181.44
1737,157177.01
1738,127203.02
1739,142843.99
1740,130481.53
1741,112421.47
1742,149274.7
1743,125274.6
1744,105934.64
1745,72410.16
1746,110242.94
1747,122404.99
1748,89078.1
1749,101268.3
1750,156236.85
1751,149044.7
1752,75109.37
1753,155957.13
1754,105934.67
1755,130481.55
1756,130476.41
1757,112421.43
1758,123104.99
1759,105934.66
1760,130481.43
1761,110638.63
1762,130481.55
1763,122404.98
1764,96252.02
1765,122404.96
1766,103385.86
1767,130481.59
1768,156693.69
1769,117303.66
1770,126922.95
1771,140203.28
1772,143553.65
1773,115295.01
1774,130457.94
1775,130457.95
1776,122404.99
1777,149050.72
1778,153782.06
1779,112421.42
1780,130481.57
1781,123105.02
1782,105934.64
1783,105934.67
1784,120988.29
1785,73659.64
1786,156493.88
1787,126984.0
1788,154673.71
1789,149050.02
1790,130505.21
1791,149050.4
1792,91858.0
1793,149023.77
1794,130481.57
1795,105934.64
1796,142125.5
1797,130481.56
1798,103065.94
1799,156170.72
1800,156157.66
1801,156154.5
1802,112380.73
1803,110800.24
1804,105934.67
1805,156131.87
1806,156131.57
1807,156122.8
1808,67008.38
1809,123013.02
1810,139256.2
1811,150479.01
1812,105934.67
1813,125217.2
1814,149023.71
1815,105934.68
1816,156007.01
1817,107603.86
1818,147167.95
1819,149077.25
1820,125518.8
1821,130457.72
1822,150951.2
1823,149034.25
1824,127677.6
1825,110222.96
1826,123105.02
1827,121579.09
1828,125179.98
1829,155858.06
1830,155858.06
1831,122405.01
1832,145888.7
1833,105934.66
1834,126857.55
1835,77569.0
1836,143253.43
1837,90911.13
1838,126984.0
1839,105934.66
1840,128147.09
1841,123809.4
1842,147093.75
1843,130481.56
1844,133142.35
1845,138927.58
1846,130457.94
1847,110238.92
1848,105934.64
1849,105934.65
1850,155446.62
1851,77569.0
1852,108635.19
1853,108170.36
1854,126495.6
1855,130504.93
1856,77580.4
1857,149044.93
1858,130457.97
1859,149044.91
1860,127586.24
1861,154447.36
1862,124372.08
1863,122405.01
1864,137128.01
1865,153070.58
1866,123187.73
1867,122405.0
1868,124297.8
1869,105934.65
1870,105934.66
1871,130457.95
1872,105934.64
